"id","stratum","stratum_N","weight"
"W7104280428","french",233170,310.893333333333
"W2951750187","french",233170,310.893333333333
"W6964006634","french",233170,310.893333333333
"W2605393004","french",233170,310.893333333333
"W4396538521","french",233170,310.893333333333
"W2524681180","french",233170,310.893333333333
"W1877704774","french",233170,310.893333333333
"W4387251852","french",233170,310.893333333333
"W4398819832","french",233170,310.893333333333
"W4408153292","french",233170,310.893333333333
"W6980403824","french",233170,310.893333333333
"W7071738419","french",233170,310.893333333333
"W2315301112","french",233170,310.893333333333
"W3083603722","french",233170,310.893333333333
"W2902548926","french",233170,310.893333333333
"W2609553434","french",233170,310.893333333333
"W6926258462","french",233170,310.893333333333
"W4317541938","french",233170,310.893333333333
"W7011111406","french",233170,310.893333333333
"W4401472912","french",233170,310.893333333333
"W3042443716","french",233170,310.893333333333
"W7067029287","french",233170,310.893333333333
"W1591597408","french",233170,310.893333333333
"W4321513739","french",233170,310.893333333333
"W2531839470","french",233170,310.893333333333
"W3022887388","french",233170,310.893333333333
"W2270406509","french",233170,310.893333333333
"W2786009740","french",233170,310.893333333333
"W4366574329","french",233170,310.893333333333
"W7074154370","french",233170,310.893333333333
"W2139430851","french",233170,310.893333333333
"W1592945727","french",233170,310.893333333333
"W2147480365","french",233170,310.893333333333
"W2743192672","french",233170,310.893333333333
"W7038955102","french",233170,310.893333333333
"W3196661344","french",233170,310.893333333333
"W6930620148","french",233170,310.893333333333
"W2919164265","french",233170,310.893333333333
"W3162503818","french",233170,310.893333333333
"W4298381368","french",233170,310.893333333333
"W4388205957","french",233170,310.893333333333
"W4292338582","french",233170,310.893333333333
"W4383426680","french",233170,310.893333333333
"W2892255479","french",233170,310.893333333333
"W4246382618","french",233170,310.893333333333
"W3002888167","french",233170,310.893333333333
"W1033959789","french",233170,310.893333333333
"W2903082334","french",233170,310.893333333333
"W2911499865","french",233170,310.893333333333
"W2917906870","french",233170,310.893333333333
"W2922225905","french",233170,310.893333333333
"W2687279230","french",233170,310.893333333333
"W4390940862","french",233170,310.893333333333
"W2146661938","french",233170,310.893333333333
"W182797627","french",233170,310.893333333333
"W4294048700","french",233170,310.893333333333
"W4313050117","french",233170,310.893333333333
"W4388439702","french",233170,310.893333333333
"W7064943674","french",233170,310.893333333333
"W7161303776","french",233170,310.893333333333
"W6981673196","french",233170,310.893333333333
"W1534716371","french",233170,310.893333333333
"W2914190094","french",233170,310.893333333333
"W1950533808","french",233170,310.893333333333
"W6980087347","french",233170,310.893333333333
"W7024527677","french",233170,310.893333333333
"W2524582649","french",233170,310.893333333333
"W6995981062","french",233170,310.893333333333
"W2223313309","french",233170,310.893333333333
"W2995323822","french",233170,310.893333333333
"W4417407361","french",233170,310.893333333333
"W4389692342","french",233170,310.893333333333
"W7128763074","french",233170,310.893333333333
"W2016453859","french",233170,310.893333333333
"W2244143387","french",233170,310.893333333333
